Feature,Accuracy,Precision,Recall
"('pho1', 'pho3', 'pro1', 'pro4', 'art2')",0.5026200873362445,0.29940357852882704,0.5933806146572104
"('pho1', 'pho3', 'pro1', 'art2', 'art4')",0.506113537117904,0.3064327485380117,0.6193853427895981
"('pho1', 'pho3', 'pro4', 'art2', 'art3')",0.5043668122270742,0.30563106796116507,0.6201733648542159
"('pho1', 'pho3', 'pro4', 'art2', 'art4')",0.5109170305676856,0.3050983540746688,0.598896769109535
"('pho1', 'pho3', 'art2', 'art3', 'art4')",0.5032751091703057,0.307427258805513,0.6327817178881009
"('pho1', 'pho4', 'pro1', 'pro2', 'pro4')",0.5155021834061135,0.2798887859128823,0.47596532702915684
"('pho1', 'pho4', 'pro1', 'pro2', 'art1')",0.5115720524017467,0.2852706299911269,0.5066981875492513
"('pho1', 'pho4', 'pro1', 'pro2', 'art2')",0.5275109170305677,0.31667349446947973,0.6091410559495666
"('pho1', 'pho4', 'pro1', 'pro2', 'art3')",0.5100436681222708,0.282657155595185,0.4996059889676911
"('pho1', 'pho4', 'pro1', 'pro3', 'pro4')",0.5155021834061135,0.2778297474275023,0.46808510638297873
"('pho1', 'pho4', 'pro1', 'pro3', 'art1')",0.5203056768558952,0.29631255487269537,0.5319148936170213
"('pho1', 'pho4', 'pro1', 'pro3', 'art2')",0.5358078602620088,0.3206362494767685,0.6036249014972419
"('pho1', 'pho4', 'pro1', 'pro3', 'art3')",0.5131004366812227,0.2957926051848704,0.5484633569739953
"('pho1', 'pho4', 'pro1', 'pro4', 'art1')",0.5253275109170306,0.2911859713890171,0.49724192277383766
"('pho1', 'pho4', 'pro1', 'pro4', 'art2')",0.5320960698689956,0.31212381771281167,0.5721040189125296
"('pho1', 'pho4', 'pro1', 'pro4', 'art3')",0.5231441048034935,0.2898484152503445,0.49724192277383766
"('pho1', 'pho4', 'pro1', 'pro4', 'art4')",0.509170305676856,0.2805916629314209,0.4933018124507486
"('pho1', 'pho4', 'pro1', 'art1', 'art2')",0.5362445414847161,0.32699312019425336,0.6367218282111899
"('pho1', 'pho4', 'pro1', 'art1', 'art3')",0.5133187772925765,0.29557069846678025,0.5468873128447597
"('pho1', 'pho4', 'pro1', 'art1', 'art4')",0.5100436681222708,0.2919334186939821,0.5390070921985816
"('pho1', 'pho4', 'pro1', 'art2', 'art3')",0.5436681222707423,0.330861145447054,0.6327817178881009
"('pho1', 'pho4', 'pro1', 'art2', 'art4')",0.5338427947598253,0.3169907016060862,0.5910165484633569
"('pho1', 'pho4', 'pro1', 'art3', 'art4')",0.50764192139738,0.2858384013900956,0.5185185185185185
"('pho1', 'pho4', 'pro2', 'pro3', 'art2')",0.506768558951965,0.31516056758775207,0.665090622537431
"('pho1', 'pho4', 'pro2', 'pro4', 'art1')",0.5069868995633188,0.28051486906347095,0.4980299448384555
"('pho1', 'pho4', 'pro2', 'pro4', 'art2')",0.509170305676856,0.3100504462553357,0.6296296296296297
"('pho1', 'pho4', 'pro2', 'pro4', 'art3')",0.5093886462882096,0.28150134048257375,0.49645390070921985
"('pho1', 'pho4', 'pro2', 'art1', 'art2')",0.5093886462882096,0.32333815028901736,0.7052797478329393
"('pho1', 'pho4', 'pro2', 'art1', 'art3')",0.5026200873362445,0.2933224088488324,0.5642237982663515
"('pho1', 'pho4', 'pro2', 'art2', 'art3')",0.5163755458515283,0.3220466516177577,0.6745468873128447
"('pho1', 'pho4', 'pro2', 'art2', 'art4')",0.5237991266375546,0.312807881773399,0.6004728132387707
"('pho1', 'pho4', 'pro2', 'art3', 'art4')",0.5072052401746725,0.2867012089810017,0.5232466509062254
"('pho1', 'pho4', 'pro3', 'pro4', 'art1')",0.5024017467248908,0.2759538598047915,0.49014972419227737
"('pho1', 'pho4', 'pro3', 'pro4', 'art2')",0.5093886462882096,0.305952380952381,0.607565011820331
"('pho1', 'pho4', 'pro3', 'pro4', 'art3')",0.5165938864628821,0.2862957937584803,0.4988179669030733
"('pho1', 'pho4', 'pro3', 'art1', 'art2')",0.5203056768558952,0.3324909747292419,0.7257683215130024
"('pho1', 'pho4', 'pro3', 'art1', 'art3')",0.5148471615720523,0.3025279734769996,0.5752561071710008
"('pho1', 'pho4', 'pro3', 'art2', 'art3')",0.5262008733624454,0.32851161020175107,0.6800630417651694
"('pho1', 'pho4', 'pro3', 'art2', 'art4')",0.5200873362445415,0.3112555871596912,0.6036249014972419
"('pho1', 'pho4', 'pro3', 'art3', 'art4')",0.5002183406113537,0.28444632290786137,0.5303388494877856
"('pho1', 'pho4', 'pro4', 'art1', 'art2')",0.5172489082969433,0.31940184049079756,0.6564223798266351
"('pho1', 'pho4', 'pro4', 'art1', 'art3')",0.5161572052401747,0.2905793896505971,0.5177304964539007
"('pho1', 'pho4', 'pro4', 'art1', 'art4')",0.5037117903930131,0.28078602620087334,0.5066981875492513
"('pho1', 'pho4', 'pro4', 'art2', 'art3')",0.5209606986899563,0.31610337972166996,0.6264775413711584
"('pho1', 'pho4', 'pro4', 'art2', 'art4')",0.5240174672489083,0.3086938261234775,0.5791962174940898
"('pho1', 'pho4', 'pro4', 'art3', 'art4')",0.5074235807860262,0.2782022471910112,0.48778565799842394
"('pho1', 'pho4', 'art1', 'art2', 'art3')",0.5104803493449782,0.32631203141735093,0.7202521670606777
"('pho1', 'pho4', 'art1', 'art2', 'art4')",0.5294759825327511,0.32722308892355695,0.661150512214342
"('pho1', 'pho4', 'art1', 'art3', 'art4')",0.5109170305676856,0.2934921310080817,0.5437352245862884
"('pho1', 'pho4', 'art2', 'art3', 'art4')",0.534061135371179,0.3185060847671003,0.5981087470449172
"('pho1', 'pro1', 'pro2', 'pro4', 'art1')",0.506768558951965,0.2764227642276423,0.48226950354609927
"('pho1', 'pro1', 'pro2', 'pro4', 'art3')",0.5019650655021834,0.2741071428571429,0.4838455476753349
"('pho1', 'pro1', 'pro4', 'art1', 'art3')",0.512882096069869,0.28488372093023256,0.5019700551615445
"('pho1', 'pro1', 'pro4', 'art2', 'art3')",0.509825327510917,0.31216320246343343,0.6390858944050434
"('pho1', 'pro1', 'pro4', 'art2', 'art4')",0.506113537117904,0.30163803435876946,0.594956658786446
"('pho1', 'pro1', 'art2', 'art3', 'art4')",0.5034934497816594,0.30363423212192264,0.6122931442080378
"('pho1', 'pro3', 'pro4', 'art2', 'art4')",0.5013100436681223,0.29932779754843813,0.5965327029156816
"('pho1', 'pro4', 'art1', 'art2', 'art4')",0.508296943231441,0.31059730250481693,0.6351457840819543
"('pho1', 'pro4', 'art2', 'art3', 'art4')",0.506768558951965,0.3000807754442649,0.5855003940110323
"('pho2', 'pho3', 'pho4', 'pro1', 'art1')",0.5301310043668123,0.3123671908202295,0.5791962174940898
"('pho2', 'pho3', 'pho4', 'pro1', 'art2')",0.5021834061135371,0.31888212110354713,0.7013396375098503
"('pho2', 'pho3', 'pho4', 'pro1', 'art3')",0.505240174672489,0.306558013193636,0.6225374310480694
"('pho2', 'pho3', 'pho4', 'pro3', 'art1')",0.5224890829694323,0.3114215283483977,0.5973207249802994
"('pho2', 'pho3', 'pho4', 'pro3', 'art3')",0.5124454148471616,0.30842607313195547,0.61150512214342
"('pho2', 'pho3', 'pho4', 'pro4', 'art2')",0.5017467248908297,0.3102285500187336,0.6524822695035462
"('pho2', 'pho3', 'pho4', 'pro4', 'art3')",0.5072052401746725,0.29278523489932884,0.5500394011032309
"('pho2', 'pho3', 'pho4', 'art1', 'art3')",0.5163755458515283,0.31407232704402516,0.6296296296296297
"('pho2', 'pho3', 'pho4', 'art2', 'art3')",0.5032751091703057,0.3227625088090204,0.7218282111899134
"('pho2', 'pho3', 'pho4', 'art2', 'art4')",0.5078602620087336,0.3078423722200546,0.6217494089834515
"('pho2', 'pho3', 'pro1', 'pro3', 'art1')",0.5526200873362446,0.3022312373225152,0.46966115051221435
"('pho2', 'pho3', 'pro1', 'pro3', 'art3')",0.5388646288209606,0.2982288176160843,0.4909377462568952
"('pho2', 'pho3', 'pro1', 'art1', 'art3')",0.5427947598253275,0.3096446700507614,0.52876280535855
