feature,p_HC_DP,p_HC_DP
kurtosis DMFCCoff_5,0.105159,0.280437
kurtosis DMFCCoff_6,0.02226,0.226339
kurtosis DMFCCoff_7,0.004393,0.2339
kurtosis DMFCCoff_8,0.01516,0.197445
kurtosis DMFCCoff_9,0.005417,0.16505
kurtosis DMFCCoff_10,0.001128,0.189413
kurtosis DMFCCoff_11,0.001487,0.241049
kurtosis DMFCCoff_12,0.001591,0.25801
kurtosis DDMFCCoff_1,0.026248,0.153441
kurtosis DDMFCCoff_2,0.004025,-0.131933
kurtosis DDMFCCoff_3,0.003122,0.122008
kurtosis DDMFCCoff_4,0.01516,0.086857
kurtosis DDMFCCoff_5,0.048503,0.286931
kurtosis DDMFCCoff_6,0.025457,0.168733
kurtosis DDMFCCoff_7,0.001446,0.299269
kurtosis DDMFCCoff_8,0.011747,0.248628
kurtosis DDMFCCoff_9,0.001528,0.259859
kurtosis DDMFCCoff_10,0.00094,0.241899
kurtosis DDMFCCoff_11,0.003043,0.235636
kurtosis DDMFCCoff_12,0.00175,0.244326
kurtosis F1,0.115765,-0.296688
kurtosis DF1,0.026788,-0.39686
kurtosis DDF1,0.077907,-0.308034
kurtosis F2,0.680326,0.084681
kurtosis DF2,0.518436,-0.113466
kurtosis DDF2,0.984196,-0.008442
